# trial: trial_013.csv
# date: 2026-08-01T17:46:25
# note: gyro axis ID take 2: 3x slow cycle fwd-up-back-up, forward first
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
2904,-1.88,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.05,0.02
2924,-2.09,-2.11,0.02,0.0,0.0,0.0,0,5000,0.05,0.05
2945,-2.08,-2.10,-0.08,0.0,0.0,0.0,0,5000,0.00,0.05
2965,-2.16,-2.10,0.03,0.0,0.0,0.0,0,5000,0.00,0.00
2985,-2.35,-2.11,-0.05,0.0,0.0,0.0,0,5000,0.06,-0.06
3006,-2.08,-2.11,0.00,0.0,0.0,0.0,0,5004,0.03,0.08
3026,-2.20,-2.11,0.09,0.0,0.0,0.0,0,5004,0.03,0.02
3047,-2.23,-2.12,-0.02,0.0,0.0,0.0,0,5004,0.11,-0.08
3067,-1.84,-2.11,0.09,0.0,0.0,0.0,0,5000,-0.06,0.05
3088,-2.23,-2.11,-0.06,0.0,0.0,0.0,0,5004,-0.03,-0.02
3107,-1.92,-2.11,-0.08,0.0,0.0,0.0,0,5000,0.05,0.00
3128,-2.12,-2.10,0.05,0.0,0.0,0.0,0,5000,0.05,0.06
3148,-1.91,-2.09,-0.05,0.0,0.0,0.0,0,5000,-0.08,0.02
3169,-2.18,-2.09,0.05,0.0,0.0,0.0,0,5004,0.06,-0.03
3189,-2.28,-2.09,0.02,0.0,0.0,0.0,0,5000,0.02,0.03
3210,-2.11,-2.09,-0.02,0.0,0.0,0.0,0,5004,0.09,0.03
3230,-2.15,-2.09,-0.05,0.0,0.0,0.0,0,5004,0.05,-0.02
3251,-2.10,-2.09,-0.05,0.0,0.0,0.0,0,5000,0.02,0.03
3271,-2.15,-2.09,0.05,0.0,0.0,0.0,0,5000,-0.03,-0.08
3292,-2.21,-2.10,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
