# trial: trial_063.csv
# note: swing-up catch campaign v2 (C mode), kicks [86, 87, 86, 88, 87, 86, 88, 89]
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
# test pwm L=86 R=0
# test pwm L=86 R=86
# test pwm L=0 R=86
# test pwm L=0 R=0
# DISARMED: emergency stop
# unknown cmd: *
# CATCH armed: waiting for gate crossing
# DISARMED: emergency stop
# unknown cmd: *
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
# test pwm L=87 R=0
# test pwm L=87 R=87
# test pwm L=0 R=87
# test pwm L=0 R=0
# DISARMED: emergency stop
# unknown cmd: *
# CATCH armed: waiting for gate crossing
# DISARMED: emergency stop
# unknown cmd: *
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
# test pwm L=86 R=0
# test pwm L=86 R=86
# test pwm L=0 R=86
# test pwm L=0 R=0
# DISARMED: emergency stop
# unknown cmd: *
# CATCH armed: waiting for gate crossing
# DISARMED: emergency stop
# unknown cmd: *
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
# test pwm L=88 R=0
# test pwm L=88 R=88
# test pwm L=0 R=88
# test pwm L=0 R=0
# DISARMED: emergency stop
# unknown cmd: *
# CATCH armed: waiting for gate crossing
# DISARMED: emergency stop
# unknown cmd: *
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
# test pwm L=87 R=0
# test pwm L=87 R=87
# test pwm L=0 R=87
# test pwm L=0 R=0
# DISARMED: emergency stop
# unknown cmd: *
# CATCH armed: waiting for gate crossing
# DISARMED: emergency stop
# unknown cmd: *
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
# test pwm L=86 R=0
# test pwm L=86 R=86
# test pwm L=0 R=86
# test pwm L=0 R=0
# DISARMED: emergency stop
# unknown cmd: *
# CATCH armed: waiting for gate crossing
# DISARMED: emergency stop
# unknown cmd: *
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
# test pwm L=88 R=0
# test pwm L=88 R=88
# test pwm L=0 R=88
# test pwm L=0 R=0
# DISARMED: emergency stop
# unknown cmd: *
# CATCH armed: waiting for gate crossing
# DISARMED: emergency stop
# unknown cmd: *
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
# test pwm L=89 R=0
# test pwm L=89 R=89
# test pwm L=0 R=89
# test pwm L=0 R=0
# DISARMED: emergency stop
# unknown cmd: *
# CATCH armed: waiting for gate crossing
# DISARMED: emergency stop
# unknown cmd: *
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
88274.092,42.27,-0.14,7.90
88274.135,42.26,0.02,7.90
88274.177,42.26,0.00,7.90
88274.218,42.26,-0.02,7.90
88274.262,42.26,-0.04,7.90
88274.303,42.24,-0.06,7.90
88274.390,42.24,-0.04,7.90
88274.391,42.24,0.00,7.90
88274.429,42.23,0.00,7.90
88274.471,42.22,0.04,7.90
88274.513,42.22,0.00,7.90
88274.557,42.21,0.02,7.90
88274.597,42.21,0.02,7.90
88274.643,42.20,-0.04,7.90
88274.684,42.21,-0.04,7.90
88274.727,42.22,0.02,7.90
88274.769,42.24,0.00,7.90
88274.808,42.24,0.02,7.90
88274.850,42.23,-0.02,7.90
88274.892,42.21,-0.08,7.90
88274.935,42.20,0.02,7.90
88274.976,42.20,-0.06,7.90
88275.018,42.19,-0.02,7.90
88275.063,42.19,0.02,7.90
88275.103,42.20,-0.08,7.90
88275.145,42.19,-0.02,7.90
88275.186,42.19,0.06,7.90
88275.229,42.18,-0.02,7.90
88275.281,42.17,-0.06,7.90
88275.313,42.16,-0.08,7.90
88275.360,42.16,-0.04,7.90
88275.398,42.14,-0.04,7.90
88275.441,42.14,-0.02,7.90
88275.485,42.14,-0.02,7.90
88275.525,42.15,-0.02,7.90
88275.566,42.15,0.02,7.90
88275.608,42.16,0.06,7.90
88275.650,42.17,0.04,7.90
88275.695,42.16,0.06,7.90
88275.735,42.16,-0.06,7.90
88275.780,42.15,0.00,7.90
88275.819,42.14,0.00,7.90
88275.861,42.14,-0.06,7.90
88275.903,42.14,-0.06,7.90
88275.945,42.14,-0.04,7.90
88275.990,42.13,0.04,7.90
88276.030,42.14,0.00,7.90
88276.076,42.15,-0.06,7.90
88276.114,42.15,-0.04,7.90
88276.160,42.15,-0.04,7.90
88276.204,42.15,-0.02,7.90
88276.243,42.13,0.06,7.90
88276.283,42.14,-0.06,7.90
88276.325,42.13,0.04,7.90
88276.367,42.13,0.06,7.90
88276.413,42.13,0.00,7.90
88276.451,42.14,-0.06,7.90
88276.510,42.16,0.04,7.90
88276.553,42.15,-0.08,7.90
88276.595,42.14,0.04,7.90
88276.637,42.15,0.00,7.90
88276.680,42.12,-0.02,7.90
88276.722,42.12,-0.06,7.90
88276.764,42.13,0.00,7.90
88276.810,42.12,0.08,7.90
88276.849,42.12,0.00,7.90
88276.903,42.12,-0.06,7.90
88276.933,42.13,-0.04,7.90
88276.977,42.13,0.06,7.90
88281.977,42.12,-0.04,7.90
88281.977,42.11,0.04,7.90
88281.977,42.11,-0.02,7.90
88281.977,42.11,0.04,7.90
88281.977,42.13,-0.04,7.90
88281.977,42.12,0.02,7.90
88281.977,42.13,0.00,7.90
88281.977,42.12,0.02,7.90
88281.977,42.14,0.02,7.90
88281.977,42.15,0.00,7.90
88281.977,42.14,0.04,7.90
88281.977,42.13,0.02,7.90
88281.977,42.13,0.02,7.90
88281.977,42.14,0.02,7.90
88281.977,42.14,0.02,7.90
88281.977,42.14,0.00,7.90
88281.977,42.12,0.00,7.90
88281.977,42.13,0.04,7.90
88281.977,42.13,-0.04,7.90
