# trial: trial_014.csv
# date: 2026-08-01T17:48:09
# note: gyro axis ID take 3: background window, 3x slow cycle fwd-up-back-up
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
2883,-2.18,-2.09,0.03,0.0,0.0,0.0,0,5000,-0.06,0.03
2904,-2.17,-2.09,-0.05,0.0,0.0,0.0,0,5000,-0.02,-0.02
2924,-2.24,-2.10,-0.12,0.0,0.0,0.0,0,5000,0.06,0.03
2945,-2.04,-2.10,-0.06,0.0,0.0,0.0,0,5000,-0.05,0.05
2965,-2.10,-2.11,-0.05,0.0,0.0,0.0,0,5004,0.03,-0.03
2985,-2.18,-2.11,0.02,0.0,0.0,0.0,0,5004,0.00,-0.02
3006,-1.93,-2.10,-0.02,0.0,0.0,0.0,0,5004,-0.05,-0.03
3026,-2.17,-2.10,0.05,0.0,0.0,0.0,0,5004,-0.03,0.00
3047,-1.98,-2.10,-0.11,0.0,0.0,0.0,0,5000,-0.03,-0.03
3067,-2.06,-2.10,-0.06,0.0,0.0,0.0,0,5000,-0.02,-0.05
3088,-2.15,-2.10,-0.03,0.0,0.0,0.0,0,5000,0.00,0.03
3108,-2.12,-2.11,0.06,0.0,0.0,0.0,0,5000,-0.09,0.08
3129,-2.20,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.03,-0.08
3149,-1.97,-2.11,0.11,0.0,0.0,0.0,0,5004,0.03,0.03
3170,-2.04,-2.11,0.00,0.0,0.0,0.0,0,5000,-0.02,0.00
3189,-2.19,-2.11,0.02,0.0,0.0,0.0,0,5000,-0.05,0.00
